m=1000 n=1000 k=1000
Testing file ran 10 times
Single Precision
RQ New: 5.1494121551513672e-02
LQ AOCL: 4.6221017837524414e-02
LQ Reference: 5.0689935684204102e-02
LQ New: 5.0767898559570312e-02
Single Complex Precision
QR AOCL: 8.1887006759643555e-02
QR Reference: 8.3229064941406250e-02
QR New: 8.7337970733642578e-02
QL AOCL: 8.3879947662353516e-02
QL Reference: 8.5236072540283203e-02
QL New: 8.7495088577270508e-02
RQ AOCL: 8.0598115921020508e-02
RQ Reference: 8.2059144973754883e-02
RQ New: 8.9168071746826172e-02
LQ AOCL: 8.0734968185424805e-02
LQ Reference: 8.1645965576171875e-02
LQ New: 8.9131832122802734e-02
Double Complex Precision
QR AOCL: 1.6681694984436035e-01
QR Reference: 1.6760301589965820e-01
QR New: 1.4496278762817383e-01
QL AOCL: 1.6795897483825684e-01
QL Reference: 1.6904115676879883e-01
QL New: 1.4530396461486816e-01
RQ AOCL: 1.6899299621582031e-01
RQ Reference: 1.7071199417114258e-01
RQ New: 1.6282510757446289e-01
LQ AOCL: 1.6952204704284668e-01
LQ Reference: 1.7075800895690918e-01
LQ New: 1.6361308097839355e-01
Single Precision
QR AOCL: 2.0843982696533203e-02
QR Reference: 2.1466970443725586e-02
QR New: 3.1208992004394531e-02
QL AOCL: 2.0948886871337891e-02
QL Reference: 2.2133111953735352e-02
QL New: 3.1164884567260742e-02
RQ AOCL: 2.6637077331542969e-02
RQ Reference: 2.7618169784545898e-02
RQ New: 3.2417058944702148e-02
LQ AOCL: 2.7070045471191406e-02
LQ Reference: 3.0915975570678711e-02
LQ New: 3.2714128494262695e-02
Double Precision
QR AOCL: 4.0693998336791992e-02
QR Reference: 3.9833068847656250e-02
QR New: 4.6602964401245117e-02
QL AOCL: 3.9609909057617188e-02
QL Reference: 4.0703058242797852e-02
QL New: 4.6503067016601562e-02
RQ AOCL: 4.6328783035278320e-02
RQ Reference: 4.7013998031616211e-02
RQ New: 5.0755023956298828e-02
LQ AOCL: 4.6874046325683594e-02
LQ Reference: 5.0786018371582031e-02
LQ New: 5.1543951034545898e-02
Single Complex Precision
QR AOCL: 8.1525087356567383e-02
QR Reference: 8.2267999649047852e-02
QR New: 9.2072010040283203e-02
QL AOCL: 8.7133884429931641e-02
QL Reference: 8.5703134536743164e-02
QL New: 8.7150812149047852e-02
RQ AOCL: 8.0468177795410156e-02
RQ Reference: 8.1748008728027344e-02
RQ New: 8.8668107986450195e-02
LQ AOCL: 8.0649852752685547e-02
LQ Reference: 8.1479072570800781e-02
LQ New: 8.8738918304443359e-02
Double Complex Precision
QR AOCL: 1.6688704490661621e-01
QR Reference: 1.6744208335876465e-01
QR New: 1.4442300796508789e-01
QL AOCL: 1.6780209541320801e-01
QL Reference: 1.6904711723327637e-01
QL New: 1.4463615417480469e-01
RQ AOCL: 1.6903090476989746e-01
