m=1000 n=1000 k=100
QR Reference: 3.4600019454956055e-02:1.0448641523761223e+01
QR New: 3.4624099731445312e-02:1.0441374730435740e+01
QL AOCL: 2.8012990951538086e-02:1.2905555162796714e+01
QL Reference: 2.7884960174560547e-02:1.2964809622709007e+01
QL New: 2.7935028076171875e-02:1.2941572817260685e+01
RQ AOCL: 3.0729055404663086e-02:1.1764868631306493e+01
RQ Reference: 3.0621051788330078e-02:1.1806364539632808e+01
RQ New: 3.0593872070312500e-02:1.1816853360997506e+01
LQ AOCL: 3.3396005630493164e-02:1.0825345521857889e+01
LQ Reference: 3.3325910568237305e-02:1.0848114690212407e+01
LQ New: 3.3306121826171875e-02:1.0854560068170885e+01
Double Complex Precision
QR AOCL: 7.7409982681274414e-02:4.6702400320708630e+00
QR Reference: 7.5971126556396484e-02:4.7586921030008220e+00
QR New: 7.6753854751586914e-02:4.7101634330948752e+00
QL AOCL: 8.5138797760009766e-02:4.2462803035939718e+00
QL Reference: 8.2143068313598633e-02:4.4011406856608799e+00
QL New: 8.2384109497070312e-02:4.3882637344384507e+00
RQ AOCL: 9.5193147659301758e-02:3.7977870139760412e+00
RQ Reference: 1.3570713996887207e-01:2.6639961617562986e+00
RQ New: 1.1112689971923828e-01:3.2532474217618539e+00
LQ AOCL: 1.1865806579589844e-01:3.0467654901930525e+00
LQ Reference: 8.3223819732666016e-02:4.3439883096125085e+00
LQ New: 8.2687139511108398e-02:4.3721829311973242e+00
Single Precision
QR AOCL: 1.5442848205566406e-02:2.3410396527091955e+01
QR Reference: 1.4760971069335938e-02:2.4491830402067450e+01
QR New: 1.4742851257324219e-02:2.4521932270082154e+01
QL AOCL: 1.5069007873535156e-02:2.3991174670160117e+01
QL Reference: 1.5002965927124023e-02:2.4096782046701733e+01
QL New: 1.4959096908569336e-02:2.4167448222953954e+01
RQ AOCL: 1.6200065612792969e-02:2.2316162702113381e+01
RQ Reference: 1.6029119491577148e-02:2.2554158398405498e+01
RQ New: 1.6056776046752930e-02:2.2515310604528782e+01
LQ AOCL: 1.5078783035278320e-02:2.3975628481037237e+01
LQ Reference: 1.0120153427124023e-02:3.5723104654821306e+01
LQ New: 9.6828937530517578e-03:3.7336286984049444e+01
Double Precision
QR AOCL: 2.8846025466918945e-02:1.2532860043911430e+01
QR Reference: 2.7980089187622070e-02:1.2920730794522695e+01
QR New: 2.7994871139526367e-02:1.2913908344073787e+01
QL AOCL: 2.4968147277832031e-02:1.4479376302020549e+01
QL Reference: 2.4790048599243164e-02:1.4583400212093059e+01
QL New: 2.4786949157714844e-02:1.4585223768350582e+01
RQ AOCL: 2.6139974594116211e-02:1.3830285056259179e+01
RQ Reference: 2.6034832000732422e-02:1.3886139153493653e+01
RQ New: 2.6026010513305664e-02:1.3890845844973937e+01
LQ AOCL: 2.7736902236938477e-02:1.3034018612162940e+01
LQ Reference: 1.4666080474853516e-02:2.4650301123048411e+01
LQ New: 1.4571189880371094e-02:2.4810828969225735e+01
Single Complex Precision
QR AOCL: 3.5335063934326172e-02:1.0231287558214918e+01
QR Reference: 3.4527063369750977e-02:1.0470719624441882e+01
QR New: 3.4522056579589844e-02:1.0472238209983701e+01
QL AOCL: 2.7907133102416992e-02:1.2954508751337451e+01
QL Reference: 2.7699947357177734e-02:1.3051403865080649e+01
QL New: 2.7698993682861328e-02:1.3051853223956343e+01
RQ AOCL: 3.0534029006958008e-02:1.1840012987398980e+01
RQ Reference: 3.0375957489013672e-02:1.1901626479782742e+01
RQ New: 3.0359029769897461e-02:1.1908262640147642e+01
LQ AOCL: 3.3179044723510742e-02:1.0896133478605664e+01
LQ Reference: 3.3303022384643555e-02:1.0855570279011763e+01
LQ New: 3.3294916152954102e-02:1.0858213258120001e+01
Double Complex Precision
QR AOCL: 1.1544203758239746e-01:3.1316425764051559e+00
QR Reference: 1.2450504302978516e-01:2.9036831858570848e+00
QR New: 1.2603783607482910e-01:2.8683704136697683e+00
QL AOCL: 1.1706113815307617e-01:3.0883280797018271e+00
QL Reference: 9.7460985183715820e-02:3.7094145859342778e+00
QL New: 1.0008096694946289e-01:3.6123072250346620e+00
RQ AOCL: 1.0978007316589355e-01:3.2931595832850835e+00
RQ Reference: 1.0841202735900879e-01:3.3347157949810100e+00
RQ New: 1.3563609123229980e-01:2.6653916130687523e+00
LQ AOCL: 1.3427090644836426e-01:2.6924916913332138e+00
LQ Reference: 1.0367298126220703e-01:3.4871506114562734e+00
LQ New: 1.1133599281311035e-01:3.2471377033198636e+00
Single Precision
QR AOCL: 1.5432119369506836e-02:2.3426672082018325e+01
QR Reference: 1.4739990234375000e-02:2.4526691961904763e+01
QR New: 1.4689922332763672e-02:2.4610286685701301e+01
QL AOCL: 1.5116930007934570e-02:2.3915120319419604e+01
QL Reference: 1.5084981918334961e-02:2.3965769528738285e+01
QL New: 1.5222072601318359e-02:2.3749932710785327e+01
RQ AOCL: 1.6263961791992188e-02:2.2228489258871818e+01
RQ Reference: 1.6079187393188477e-02:2.2483928519494075e+01
RQ New: 1.6070842742919922e-02:2.2495603110749784e+01
LQ AOCL: 1.5038013458251953e-02:2.4040628837289532e+01
LQ Reference: 1.0103940963745117e-02:3.5780424816140069e+01
LQ New: 9.6039772033691406e-03:3.7643081855002237e+01
Double Precision
QR AOCL: 2.8830051422119141e-02:1.2539804203145829e+01
QR Reference: 2.8207778930664062e-02:1.2816436235147744e+01
QR New: 2.8182029724121094e-02:1.2828146288220365e+01
QL AOCL: 2.4957895278930664e-02:1.4485324021100295e+01
QL Reference: 2.4777889251708984e-02:1.4590556779369937e+01
QL New: 2.4775028228759766e-02:1.4592241698450643e+01
RQ AOCL: 2.6160001754760742e-02:1.3819697085234637e+01
RQ Reference: 2.6066064834594727e-02:1.3869500528525826e+01
RQ New: 2.6095151901245117e-02:1.3854040833644278e+01
LQ AOCL: 2.7744054794311523e-02:1.3030658376371308e+01
LQ Reference: 1.4485120773315430e-02:2.4958252378951528e+01
LQ New: 1.4307975769042969e-02:2.5267256936666001e+01
Single Complex Precision
QR AOCL: 3.5058975219726562e-02:1.0311858739002231e+01
QR Reference: 3.4407138824462891e-02:1.0507214849930014e+01
QR New: 3.4418821334838867e-02:1.0503648468463526e+01
QL AOCL: 2.7758836746215820e-02:1.3023715774015065e+01
QL Reference: 2.7662038803100586e-02:1.3069289743006127e+01
QL New: 2.7637958526611328e-02:1.3080676695129483e+01
RQ AOCL: 3.0391931533813477e-02:1.1895370967053415e+01
RQ Reference: 3.0266046524047852e-02:1.1944847164387728e+01
RQ New: 3.0390024185180664e-02:1.1896117548214804e+01
LQ AOCL: 3.3037900924682617e-02:1.0942683702096398e+01
LQ Reference: 3.2997131347656250e-02:1.0956203925456647e+01
LQ New: 3.2979965209960938e-02:1.0961906651460298e+01
Double Complex Precision
QR AOCL: 7.6193094253540039e-02:4.7448289578186165e+00
QR Reference: 7.7798843383789062e-02:4.6468968467380911e+00
QR New: 7.5253963470458984e-02:4.8040419843390216e+00
QL AOCL: 8.3401203155517578e-02:4.3347480170744115e+00
QL Reference: 8.2458972930908203e-02:4.3842796866135814e+00
QL New: 8.2538127899169922e-02:4.3800751143961412e+00
RQ AOCL: 9.4131946563720703e-02:3.8406015513051583e+00
RQ Reference: 9.7614049911499023e-02:3.7035990241955141e+00
RQ New: 8.8416814804077148e-02:4.0888523387898514e+00
LQ AOCL: 8.2494020462036133e-02:4.3824182404393000e+00
LQ Reference: 9.5804929733276367e-02:3.7735354642656813e+00
LQ New: 9.0371131896972656e-02:4.0004290353710914e+00
Single Precision
QR AOCL: 1.5653848648071289e-02:2.3094844477402258e+01
QR Reference: 1.4786005020141602e-02:2.4450363672102810e+01
QR New: 1.4799118041992188e-02:2.4428698992344373e+01
QL AOCL: 1.5162944793701172e-02:2.3842545423642253e+01
QL Reference: 1.5022993087768555e-02:2.4064658612826332e+01
QL New: 1.5042781829833984e-02:2.4033001614302471e+01
RQ AOCL: 1.6207933425903320e-02:2.2305329772777689e+01
RQ Reference: 1.6134977340698242e-02:2.2406185789186555e+01
RQ New: 1.5999078750610352e-02:2.2596507313660680e+01
LQ AOCL: 1.5100955963134766e-02:2.3940424757384193e+01
LQ Reference: 1.0065078735351562e-02:3.5918576446920596e+01
LQ New: 9.6838474273681641e-03:3.7332610071723664e+01
Double Precision
QR AOCL: 2.8985977172851562e-02:1.2472348192511680e+01
QR Reference: 2.8002977371215820e-02:1.2910170058259899e+01
QR New: 2.7998924255371094e-02:1.2912038930590279e+01
QL AOCL: 2.4837017059326172e-02:1.4555822027116172e+01
QL Reference: 2.4796962738037109e-02:1.4579333921627599e+01
QL New: 2.4907827377319336e-02:1.4514441365094619e+01
RQ AOCL: 2.6201009750366211e-02:1.3798067457875245e+01
RQ Reference: 2.6084899902343750e-02:1.3859485808014039e+01
RQ New: 2.6082038879394531e-02:1.3861006099703829e+01
LQ AOCL: 2.7621030807495117e-02:1.3088696888962547e+01
LQ Reference: 1.4717102050781250e-02:2.4564842912182478e+01
LQ New: 1.4625072479248047e-02:2.4719419374705748e+01
Single Complex Precision
QR AOCL: 3.5341024398803711e-02:1.0229561993461557e+01
QR Reference: 3.4588098526000977e-02:1.0452242690595769e+01
QR New: 3.4561872482299805e-02:1.0460174002006029e+01
QL AOCL: 2.8068065643310547e-02:1.2880232097011705e+01
QL Reference: 2.7749061584472656e-02:1.3028303638285735e+01
QL New: 2.7755022048950195e-02:1.3025505775581765e+01
RQ AOCL: 3.0750036239624023e-02:1.1756841428828842e+01
RQ Reference: 3.0637979507446289e-02:1.1799841432498347e+01
RQ New: 3.0455112457275391e-02:1.1870693319788943e+01
LQ AOCL: 3.3196926116943359e-02:1.0890264319246183e+01
LQ Reference: 3.2993078231811523e-02:1.0957549867275604e+01
LQ New: 3.6842107772827148e-02:9.8127746172720620e+00
Double Complex Precision
QR AOCL: 9.7733020782470703e-02:3.6990895922951195e+00
QR Reference: 1.0397100448608398e-01:3.4771540564310710e+00
QR New: 1.0382509231567383e-01:3.4820407276962575e+00
QL AOCL: 1.0475802421569824e-01:3.4510311043631239e+00
QL Reference: 1.0717415809631348e-01:3.3732310700785946e+00
QL New: 1.0246801376342773e-01:3.5281566092874992e+00
RQ AOCL: 1.1329793930053711e-01:3.1909079920775412e+00
RQ Reference: 1.1469602584838867e-01:3.1520124374481884e+00
RQ New: 1.1341094970703125e-01:3.1877283536898755e+00
LQ AOCL: 1.0812187194824219e-01:3.3436648245700074e+00
LQ Reference: 1.0765099525451660e-01:3.3582903636446590e+00
LQ New: 1.0636615753173828e-01:3.3988564444675569e+00
Single Precision
QR AOCL: 1.5276908874511719e-02:2.3664682624583307e+01
QR Reference: 1.4769077301025391e-02:2.4478387690130113e+01
QR New: 1.4749050140380859e-02:2.4511625939232484e+01
QL AOCL: 1.5220165252685547e-02:2.3752908986070992e+01
QL Reference: 1.5007972717285156e-02:2.4088743150740292e+01
QL New: 1.4998912811279297e-02:2.4103293655266253e+01
